run_accession	experiment_accession	submission_accession	scientific_name	instrument_model	library_name	study_title	study_alias	fastq_ftp	sample_alias	sample_accession
SRR24040934	SRX19843019	SRA1614351	Vulpes zerda	Illumina NovaSeq 6000	VZ01	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/034/SRR24040934/SRR24040934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/034/SRR24040934/SRR24040934_2.fastq.gz	VZ01	SAMN34035622
SRR24040935	SRX19843018	SRA1614351	Vulpes pallida	Illumina NovaSeq 6000	968	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/035/SRR24040935/SRR24040935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/035/SRR24040935/SRR24040935_2.fastq.gz	968	SAMN34035550
SRR24040947	SRX19843006	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	VR13	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/047/SRR24040947/SRR24040947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/047/SRR24040947/SRR24040947_2.fastq.gz	VR13	SAMN34035611
SRR24040948	SRX19843005	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	VR12	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/048/SRR24040948/SRR24040948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/048/SRR24040948/SRR24040948_2.fastq.gz	VR12	SAMN34035610
SRR24040951	SRX19843002	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	VR09	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/051/SRR24040951/SRR24040951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/051/SRR24040951/SRR24040951_2.fastq.gz	VR09	SAMN34035607
SRR24040952	SRX19843001	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	VR08	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/052/SRR24040952/SRR24040952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/052/SRR24040952/SRR24040952_2.fastq.gz	VR08	SAMN34035606
SRR24040956	SRX19842997	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	VR04	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/056/SRR24040956/SRR24040956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/056/SRR24040956/SRR24040956_2.fastq.gz	VR04	SAMN34035602
SRR24040962	SRX19842991	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	12238	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/062/SRR24040962/SRR24040962_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/062/SRR24040962/SRR24040962_2.fastq.gz	12238	SAMN34035597
SRR24040965	SRX19842988	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	11469	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/065/SRR24040965/SRR24040965_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/065/SRR24040965/SRR24040965_2.fastq.gz	11469	SAMN34035594
SRR24040966	SRX19842987	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	11466	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/066/SRR24040966/SRR24040966_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/066/SRR24040966/SRR24040966_2.fastq.gz	11466	SAMN34035593
SRR24040968	SRX19842985	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	707	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/068/SRR24040968/SRR24040968_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/068/SRR24040968/SRR24040968_2.fastq.gz	707	SAMN34035547
SRR24040970	SRX19842983	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	10476	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/070/SRR24040970/SRR24040970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/070/SRR24040970/SRR24040970_2.fastq.gz	10476	SAMN34035590
SRR24040975	SRX19842978	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	9053	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/075/SRR24040975/SRR24040975_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/075/SRR24040975/SRR24040975_2.fastq.gz	9053	SAMN34035585
SRR24040977	SRX19842976	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	8645	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/077/SRR24040977/SRR24040977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/077/SRR24040977/SRR24040977_2.fastq.gz	8645	SAMN34035583
SRR24040978	SRX19842975	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	8522	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/078/SRR24040978/SRR24040978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/078/SRR24040978/SRR24040978_2.fastq.gz	8522	SAMN34035582
SRR24040979	SRX19842974	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	542	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/079/SRR24040979/SRR24040979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/079/SRR24040979/SRR24040979_2.fastq.gz	542	SAMN34035546
SRR24040980	SRX19842973	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	8079	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/080/SRR24040980/SRR24040980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/080/SRR24040980/SRR24040980_2.fastq.gz	8079	SAMN34035581
SRR24040985	SRX19842968	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	7367	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/085/SRR24040985/SRR24040985_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/085/SRR24040985/SRR24040985_2.fastq.gz	7367	SAMN34035576
SRR24040986	SRX19842967	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	7024	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/086/SRR24040986/SRR24040986_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/086/SRR24040986/SRR24040986_2.fastq.gz	7024	SAMN34035575
SRR24040987	SRX19842966	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	6891	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/087/SRR24040987/SRR24040987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/087/SRR24040987/SRR24040987_2.fastq.gz	6891	SAMN34035574
SRR24040988	SRX19842965	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	6824	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/088/SRR24040988/SRR24040988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/088/SRR24040988/SRR24040988_2.fastq.gz	6824	SAMN34035573
SRR24040992	SRX19842961	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	6588	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/092/SRR24040992/SRR24040992_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/092/SRR24040992/SRR24040992_2.fastq.gz	6588	SAMN34035570
SRR24040994	SRX19842959	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	5710	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/094/SRR24040994/SRR24040994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/094/SRR24040994/SRR24040994_2.fastq.gz	5710	SAMN34035568
SRR24040997	SRX19842956	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	5704	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/097/SRR24040997/SRR24040997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/097/SRR24040997/SRR24040997_2.fastq.gz	5704	SAMN34035565
SRR24040999	SRX19842954	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	5627	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/099/SRR24040999/SRR24040999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/099/SRR24040999/SRR24040999_2.fastq.gz	5627	SAMN34035563
SRR24041006	SRX19842947	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	2794	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/006/SRR24041006/SRR24041006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/006/SRR24041006/SRR24041006_2.fastq.gz	2794	SAMN34035557
SRR24041012	SRX19842941	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	131	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/012/SRR24041012/SRR24041012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/012/SRR24041012/SRR24041012_2.fastq.gz	131	SAMN34035543
SRR24067056	SRX19868350	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	VV01	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/056/SRR24067056/SRR24067056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/056/SRR24067056/SRR24067056_2.fastq.gz	VV01	SAMN34035613
SRR24067058	SRX19868348	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	VR13	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/058/SRR24067058/SRR24067058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/058/SRR24067058/SRR24067058_2.fastq.gz	VR13	SAMN34035611
SRR24067059	SRX19868347	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	VR12	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/059/SRR24067059/SRR24067059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/059/SRR24067059/SRR24067059_2.fastq.gz	VR12	SAMN34035610
SRR24067065	SRX19868341	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	VR06	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/065/SRR24067065/SRR24067065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/065/SRR24067065/SRR24067065_2.fastq.gz	VR06	SAMN34035604
SRR24067066	SRX19868340	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	785	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/066/SRR24067066/SRR24067066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/066/SRR24067066/SRR24067066_2.fastq.gz	785	SAMN34035548
SRR24067071	SRX19868335	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	13451	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/071/SRR24067071/SRR24067071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/071/SRR24067071/SRR24067071_2.fastq.gz	13451	SAMN34035598
SRR24067074	SRX19868332	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	11470	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/074/SRR24067074/SRR24067074_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/074/SRR24067074/SRR24067074_2.fastq.gz	11470	SAMN34035595
SRR24067078	SRX19868328	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	11464	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/078/SRR24067078/SRR24067078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/078/SRR24067078/SRR24067078_2.fastq.gz	11464	SAMN34035592
SRR24067079	SRX19868327	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	10608	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/079/SRR24067079/SRR24067079_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/079/SRR24067079/SRR24067079_2.fastq.gz	10608	SAMN34035591
SRR24067081	SRX19868325	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	10470	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/081/SRR24067081/SRR24067081_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/081/SRR24067081/SRR24067081_2.fastq.gz	10470	SAMN34035589
SRR24067083	SRX19868323	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	10185	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/083/SRR24067083/SRR24067083_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/083/SRR24067083/SRR24067083_2.fastq.gz	10185	SAMN34035587
SRR24067085	SRX19868321	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	8953	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/085/SRR24067085/SRR24067085_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/085/SRR24067085/SRR24067085_2.fastq.gz	8953	SAMN34035584
SRR24067086	SRX19868320	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	8645	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/086/SRR24067086/SRR24067086_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/086/SRR24067086/SRR24067086_2.fastq.gz	8645	SAMN34035583
SRR24067090	SRX19868316	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	8050	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/090/SRR24067090/SRR24067090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/090/SRR24067090/SRR24067090_2.fastq.gz	8050	SAMN34035580
SRR24067096	SRX19868310	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	6891	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/096/SRR24067096/SRR24067096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/096/SRR24067096/SRR24067096_2.fastq.gz	6891	SAMN34035574
SRR24067100	SRX19868306	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	6589	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/000/SRR24067100/SRR24067100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/000/SRR24067100/SRR24067100_2.fastq.gz	6589	SAMN34035571
SRR24067103	SRX19868303	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	5710	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/003/SRR24067103/SRR24067103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/003/SRR24067103/SRR24067103_2.fastq.gz	5710	SAMN34035568
SRR24067108	SRX19868298	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	5627	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/008/SRR24067108/SRR24067108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/008/SRR24067108/SRR24067108_2.fastq.gz	5627	SAMN34035563
SRR24067110	SRX19868296	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	305	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/010/SRR24067110/SRR24067110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/010/SRR24067110/SRR24067110_2.fastq.gz	305	SAMN34035544
SRR24067112	SRX19868294	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	3642	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/012/SRR24067112/SRR24067112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/012/SRR24067112/SRR24067112_2.fastq.gz	3642	SAMN34035560
SRR24067117	SRX19868289	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	2782	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/017/SRR24067117/SRR24067117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/017/SRR24067117/SRR24067117_2.fastq.gz	2782	SAMN34035555
SRR24067122	SRX19868284	SRA1615770	Vulpes zerda	Illumina NovaSeq 6000	VZ03	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/022/SRR24067122/SRR24067122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/022/SRR24067122/SRR24067122_2.fastq.gz	VZ03	SAMN34035624
SRR24067124	SRX19868282	SRA1615770	Vulpes zerda	Illumina NovaSeq 6000	VZ02	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/024/SRR24067124/SRR24067124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/024/SRR24067124/SRR24067124_2.fastq.gz	VZ02	SAMN34035623
SRR24067130	SRX19868276	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	VV05	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/030/SRR24067130/SRR24067130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/030/SRR24067130/SRR24067130_2.fastq.gz	VV05	SAMN34035617
SRR24067136	SRX19868270	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	1092	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/036/SRR24067136/SRR24067136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/036/SRR24067136/SRR24067136_2.fastq.gz	1092	SAMN34035552
SRR24070352	SRX19871514	SRA1615875	Vulpes vulpes	HiSeq X Ten	VV14_Asturias1	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/052/SRR24070352/SRR24070352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/052/SRR24070352/SRR24070352_2.fastq.gz	VV14_Asturias1	SAMN34074030
SRR24070354	SRX19871512	SRA1615875	Vulpes vulpes	HiSeq X Ten	VV10_Vv3373	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/054/SRR24070354/SRR24070354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/054/SRR24070354/SRR24070354_2.fastq.gz	VV10_Vv3373	SAMN34074028
SRR24070355	SRX19871511	SRA1615875	Vulpes vulpes	HiSeq X Ten	VV09_Vv4749	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/055/SRR24070355/SRR24070355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/055/SRR24070355/SRR24070355_2.fastq.gz	VV09_Vv4749	SAMN34074027
SRR24070356	SRX19871510	SRA1615875	Vulpes vulpes	HiSeq X Ten	VV05	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/056/SRR24070356/SRR24070356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/056/SRR24070356/SRR24070356_2.fastq.gz	VV05	SAMN34035617
SRR24070359	SRX19871507	SRA1615875	Vulpes rueppellii	HiSeq X Ten	VR09	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/059/SRR24070359/SRR24070359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/059/SRR24070359/SRR24070359_2.fastq.gz	VR09	SAMN34035607
SRR24070362	SRX19871504	SRA1615875	Vulpes rueppellii	HiSeq X Ten	VR03	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/062/SRR24070362/SRR24070362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/062/SRR24070362/SRR24070362_2.fastq.gz	VR03	SAMN34035601
SRR24040931	SRX19843022	SRA1614351	Vulpes zerda	Illumina NovaSeq 6000	VZ05	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/031/SRR24040931/SRR24040931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/031/SRR24040931/SRR24040931_2.fastq.gz	VZ05	SAMN34035625
SRR24040932	SRX19843021	SRA1614351	Vulpes zerda	Illumina NovaSeq 6000	VZ03	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/032/SRR24040932/SRR24040932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/032/SRR24040932/SRR24040932_2.fastq.gz	VZ03	SAMN34035624
SRR24040933	SRX19843020	SRA1614351	Vulpes zerda	Illumina NovaSeq 6000	VZ02	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/033/SRR24040933/SRR24040933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/033/SRR24040933/SRR24040933_2.fastq.gz	VZ02	SAMN34035623
SRR24040936	SRX19843017	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	VV12	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/036/SRR24040936/SRR24040936_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/036/SRR24040936/SRR24040936_2.fastq.gz	VV12	SAMN34035621
SRR24040937	SRX19843016	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	VV11	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/037/SRR24040937/SRR24040937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/037/SRR24040937/SRR24040937_2.fastq.gz	VV11	SAMN34035620
SRR24040939	SRX19843014	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	VV07	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/039/SRR24040939/SRR24040939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/039/SRR24040939/SRR24040939_2.fastq.gz	VV07	SAMN34035618
SRR24040941	SRX19843012	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	VV04	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/041/SRR24040941/SRR24040941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/041/SRR24040941/SRR24040941_2.fastq.gz	VV04	SAMN34035616
SRR24040944	SRX19843009	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	VV01	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/044/SRR24040944/SRR24040944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/044/SRR24040944/SRR24040944_2.fastq.gz	VV01	SAMN34035613
